Datum;Grupp;Serie;Värde
2021-09-22;Valutor mot svenska kronor;1 CHF;9,3885
2021-09-23;Valutor mot svenska kronor;1 CHF;9,37069
2021-09-24;Valutor mot svenska kronor;1 CHF;9,34287
2021-09-27;Valutor mot svenska kronor;1 CHF;9,35347
2021-09-28;Valutor mot svenska kronor;1 CHF;9,39437
2021-09-29;Valutor mot svenska kronor;1 CHF;9,39841
2021-09-30;Valutor mot svenska kronor;1 CHF;9,411
2021-10-01;Valutor mot svenska kronor;1 CHF;9,42631
2021-10-04;Valutor mot svenska kronor;1 CHF;9,40763
2021-10-05;Valutor mot svenska kronor;1 CHF;9,434
2021-10-06;Valutor mot svenska kronor;1 CHF;9,44541
2021-10-07;Valutor mot svenska kronor;1 CHF;9,47633
2021-10-08;Valutor mot svenska kronor;1 CHF;9,45536
2021-10-11;Valutor mot svenska kronor;1 CHF;9,42053
2021-10-12;Valutor mot svenska kronor;1 CHF;9,45564
2021-10-13;Valutor mot svenska kronor;1 CHF;9,43819
2021-10-14;Valutor mot svenska kronor;1 CHF;9,39934
2021-10-15;Valutor mot svenska kronor;1 CHF;9,34443
2021-10-18;Valutor mot svenska kronor;1 CHF;9,34283
2021-10-19;Valutor mot svenska kronor;1 CHF;9,34993
2021-10-20;Valutor mot svenska kronor;1 CHF;9,32139
2021-10-21;Valutor mot svenska kronor;1 CHF;9,3396
2021-10-22;Valutor mot svenska kronor;1 CHF;9,35299
2021-10-25;Valutor mot svenska kronor;1 CHF;9,3527
2021-10-26;Valutor mot svenska kronor;1 CHF;9,35593
2021-10-27;Valutor mot svenska kronor;1 CHF;9,36925
2021-10-28;Valutor mot svenska kronor;1 CHF;9,35267
2021-10-29;Valutor mot svenska kronor;1 CHF;9,3543
2021-11-01;Valutor mot svenska kronor;1 CHF;9,38015
2021-11-02;Valutor mot svenska kronor;1 CHF;9,36013
2021-11-03;Valutor mot svenska kronor;1 CHF;9,37662
2021-11-04;Valutor mot svenska kronor;1 CHF;9,38368
2021-11-05;Valutor mot svenska kronor;1 CHF;9,40315
2021-11-08;Valutor mot svenska kronor;1 CHF;9,38859
2021-11-09;Valutor mot svenska kronor;1 CHF;9,36627
2021-11-10;Valutor mot svenska kronor;1 CHF;9,41884
2021-11-11;Valutor mot svenska kronor;1 CHF;9,48704
2021-11-12;Valutor mot svenska kronor;1 CHF;9,47539
2021-11-15;Valutor mot svenska kronor;1 CHF;9,50067
2021-11-16;Valutor mot svenska kronor;1 CHF;9,49502
2021-11-17;Valutor mot svenska kronor;1 CHF;9,54321
2021-11-18;Valutor mot svenska kronor;1 CHF;9,54479
2021-11-19;Valutor mot svenska kronor;1 CHF;9,59498
2021-11-22;Valutor mot svenska kronor;1 CHF;9,6442
2021-11-23;Valutor mot svenska kronor;1 CHF;9,65535
2021-11-24;Valutor mot svenska kronor;1 CHF;9,6932
2021-11-25;Valutor mot svenska kronor;1 CHF;9,74246
2021-11-26;Valutor mot svenska kronor;1 CHF;9,88023
2021-11-29;Valutor mot svenska kronor;1 CHF;9,8875
2021-11-30;Valutor mot svenska kronor;1 CHF;9,80928
2021-12-01;Valutor mot svenska kronor;1 CHF;9,81847
2021-12-02;Valutor mot svenska kronor;1 CHF;9,85415
2021-12-03;Valutor mot svenska kronor;1 CHF;9,88405
2021-12-06;Valutor mot svenska kronor;1 CHF;9,91827
2021-12-07;Valutor mot svenska kronor;1 CHF;9,81463
2021-12-08;Valutor mot svenska kronor;1 CHF;9,82483
2021-12-09;Valutor mot svenska kronor;1 CHF;9,8392
2021-12-10;Valutor mot svenska kronor;1 CHF;9,81763
2021-12-13;Valutor mot svenska kronor;1 CHF;9,83935
2021-12-14;Valutor mot svenska kronor;1 CHF;9,86632
2021-12-15;Valutor mot svenska kronor;1 CHF;9,87864
2021-12-16;Valutor mot svenska kronor;1 CHF;9,82654
2021-12-17;Valutor mot svenska kronor;1 CHF;9,83892
2021-12-20;Valutor mot svenska kronor;1 CHF;9,8937
2021-12-21;Valutor mot svenska kronor;1 CHF;9,92415
2021-12-22;Valutor mot svenska kronor;1 CHF;9,89365
2021-12-23;Valutor mot svenska kronor;1 CHF;9,90551
2021-12-27;Valutor mot svenska kronor;1 CHF;9,93995
2021-12-28;Valutor mot svenska kronor;1 CHF;9,88293
2021-12-29;Valutor mot svenska kronor;1 CHF;9,88462
2021-12-30;Valutor mot svenska kronor;1 CHF;9,85447
2022-01-03;Valutor mot svenska kronor;1 CHF;9,90451
2022-01-04;Valutor mot svenska kronor;1 CHF;9,90647
2022-01-05;Valutor mot svenska kronor;1 CHF;9,91531
2022-01-07;Valutor mot svenska kronor;1 CHF;9,90698
2022-01-10;Valutor mot svenska kronor;1 CHF;9,87312
2022-01-11;Valutor mot svenska kronor;1 CHF;9,8044
2022-01-12;Valutor mot svenska kronor;1 CHF;9,78196
2022-01-13;Valutor mot svenska kronor;1 CHF;9,76777
2022-01-14;Valutor mot svenska kronor;1 CHF;9,8044
2022-01-17;Valutor mot svenska kronor;1 CHF;9,8725
2022-01-18;Valutor mot svenska kronor;1 CHF;9,88649
2022-01-19;Valutor mot svenska kronor;1 CHF;9,97652
2022-01-20;Valutor mot svenska kronor;1 CHF;9,96019
2022-01-21;Valutor mot svenska kronor;1 CHF;10,03872
2022-01-24;Valutor mot svenska kronor;1 CHF;10,08857
2022-01-25;Valutor mot svenska kronor;1 CHF;10,11408
2022-01-26;Valutor mot svenska kronor;1 CHF;10,06543
2022-01-27;Valutor mot svenska kronor;1 CHF;10,09992
2022-01-28;Valutor mot svenska kronor;1 CHF;10,13003
2022-01-31;Valutor mot svenska kronor;1 CHF;10,07803
2022-02-01;Valutor mot svenska kronor;1 CHF;10,05078
2022-02-02;Valutor mot svenska kronor;1 CHF;10,02343
2022-02-03;Valutor mot svenska kronor;1 CHF;9,99704
2022-02-04;Valutor mot svenska kronor;1 CHF;9,87993
2022-02-07;Valutor mot svenska kronor;1 CHF;9,89101
2022-02-08;Valutor mot svenska kronor;1 CHF;9,88324
2022-02-09;Valutor mot svenska kronor;1 CHF;9,88678
2022-02-10;Valutor mot svenska kronor;1 CHF;9,88074
2022-02-11;Valutor mot svenska kronor;1 CHF;10,01876
2022-02-14;Valutor mot svenska kronor;1 CHF;10,14143
2022-02-15;Valutor mot svenska kronor;1 CHF;10,07733
2022-02-16;Valutor mot svenska kronor;1 CHF;10,00719
2022-02-17;Valutor mot svenska kronor;1 CHF;10,09773
2022-02-18;Valutor mot svenska kronor;1 CHF;10,09976
2022-02-21;Valutor mot svenska kronor;1 CHF;10,16165
2022-02-22;Valutor mot svenska kronor;1 CHF;10,23051
2022-02-23;Valutor mot svenska kronor;1 CHF;10,11068
2022-02-24;Valutor mot svenska kronor;1 CHF;10,33376
2022-02-25;Valutor mot svenska kronor;1 CHF;10,3032
2022-02-28;Valutor mot svenska kronor;1 CHF;10,29657
2022-03-01;Valutor mot svenska kronor;1 CHF;10,34788
2022-03-02;Valutor mot svenska kronor;1 CHF;10,55516
2022-03-03;Valutor mot svenska kronor;1 CHF;10,54876
2022-03-04;Valutor mot svenska kronor;1 CHF;10,64855
2022-03-07;Valutor mot svenska kronor;1 CHF;10,83908
2022-03-08;Valutor mot svenska kronor;1 CHF;10,71869
2022-03-09;Valutor mot svenska kronor;1 CHF;10,61983
2022-03-10;Valutor mot svenska kronor;1 CHF;10,51288
2022-03-11;Valutor mot svenska kronor;1 CHF;10,45716
2022-03-14;Valutor mot svenska kronor;1 CHF;10,29327
2022-03-15;Valutor mot svenska kronor;1 CHF;10,22972
2022-03-16;Valutor mot svenska kronor;1 CHF;10,14608
2022-03-17;Valutor mot svenska kronor;1 CHF;10,01319
2022-03-18;Valutor mot svenska kronor;1 CHF;10,07899
2022-03-21;Valutor mot svenska kronor;1 CHF;10,11941
2022-03-22;Valutor mot svenska kronor;1 CHF;10,14036
2022-03-23;Valutor mot svenska kronor;1 CHF;10,10145
2022-03-24;Valutor mot svenska kronor;1 CHF;10,0811
2022-03-25;Valutor mot svenska kronor;1 CHF;10,14312
2022-03-28;Valutor mot svenska kronor;1 CHF;10,1202
2022-03-29;Valutor mot svenska kronor;1 CHF;10,08076
2022-03-30;Valutor mot svenska kronor;1 CHF;10,02998
2022-03-31;Valutor mot svenska kronor;1 CHF;10,03163
2022-04-01;Valutor mot svenska kronor;1 CHF;10,17187
2022-04-04;Valutor mot svenska kronor;1 CHF;10,13857
2022-04-05;Valutor mot svenska kronor;1 CHF;10,15919
2022-04-06;Valutor mot svenska kronor;1 CHF;10,09816
2022-04-07;Valutor mot svenska kronor;1 CHF;10,15473
2022-04-08;Valutor mot svenska kronor;1 CHF;10,13899
2022-04-11;Valutor mot svenska kronor;1 CHF;10,10164
2022-04-12;Valutor mot svenska kronor;1 CHF;10,19914
2022-04-13;Valutor mot svenska kronor;1 CHF;10,22446
2022-04-14;Valutor mot svenska kronor;1 CHF;10,11629
2022-04-19;Valutor mot svenska kronor;1 CHF;10,13501
2022-04-20;Valutor mot svenska kronor;1 CHF;9,99013
2022-04-21;Valutor mot svenska kronor;1 CHF;9,91159
2022-04-22;Valutor mot svenska kronor;1 CHF;9,98947
2022-04-25;Valutor mot svenska kronor;1 CHF;10,02421
2022-04-26;Valutor mot svenska kronor;1 CHF;10,15929
2022-04-27;Valutor mot svenska kronor;1 CHF;10,22299
2022-04-28;Valutor mot svenska kronor;1 CHF;10,10688
2022-04-29;Valutor mot svenska kronor;1 CHF;10,0654
2022-05-02;Valutor mot svenska kronor;1 CHF;10,11752
2022-05-03;Valutor mot svenska kronor;1 CHF;10,09379
2022-05-04;Valutor mot svenska kronor;1 CHF;10,10102
2022-05-05;Valutor mot svenska kronor;1 CHF;9,99975
2022-05-06;Valutor mot svenska kronor;1 CHF;10,15965
2022-05-09;Valutor mot svenska kronor;1 CHF;10,06731
2022-05-10;Valutor mot svenska kronor;1 CHF;10,1311
2022-05-11;Valutor mot svenska kronor;1 CHF;10,09013
2022-05-12;Valutor mot svenska kronor;1 CHF;10,17585
2022-05-13;Valutor mot svenska kronor;1 CHF;10,0969
2022-05-16;Valutor mot svenska kronor;1 CHF;10,03139
2022-05-17;Valutor mot svenska kronor;1 CHF;9,99122
2022-05-18;Valutor mot svenska kronor;1 CHF;9,98593
2022-05-19;Valutor mot svenska kronor;1 CHF;10,21436
2022-05-20;Valutor mot svenska kronor;1 CHF;10,20234
2022-05-23;Valutor mot svenska kronor;1 CHF;10,16816
2022-05-24;Valutor mot svenska kronor;1 CHF;10,14463
2022-05-25;Valutor mot svenska kronor;1 CHF;10,21572
2022-05-27;Valutor mot svenska kronor;1 CHF;10,23891
2022-05-30;Valutor mot svenska kronor;1 CHF;10,21887
2022-05-31;Valutor mot svenska kronor;1 CHF;10,20129
2022-06-01;Valutor mot svenska kronor;1 CHF;10,19247
2022-06-02;Valutor mot svenska kronor;1 CHF;10,22699
2022-06-03;Valutor mot svenska kronor;1 CHF;10,13286
2022-06-07;Valutor mot svenska kronor;1 CHF;10,08751
2022-06-08;Valutor mot svenska kronor;1 CHF;10,05514
2022-06-09;Valutor mot svenska kronor;1 CHF;10,03503
2022-06-10;Valutor mot svenska kronor;1 CHF;10,12577
2022-06-13;Valutor mot svenska kronor;1 CHF;10,16486
2022-06-14;Valutor mot svenska kronor;1 CHF;10,21519
2022-06-15;Valutor mot svenska kronor;1 CHF;10,15176
2022-06-16;Valutor mot svenska kronor;1 CHF;10,36603
2022-06-17;Valutor mot svenska kronor;1 CHF;10,53656
2022-06-20;Valutor mot svenska kronor;1 CHF;10,50872
2022-06-21;Valutor mot svenska kronor;1 CHF;10,44699
2022-06-22;Valutor mot svenska kronor;1 CHF;10,50784
2022-06-23;Valutor mot svenska kronor;1 CHF;10,54655
2022-06-27;Valutor mot svenska kronor;1 CHF;10,52161
2022-06-28;Valutor mot svenska kronor;1 CHF;10,51725
2022-06-29;Valutor mot svenska kronor;1 CHF;10,62757
2022-06-30;Valutor mot svenska kronor;1 CHF;10,70377
2022-07-01;Valutor mot svenska kronor;1 CHF;10,75389
2022-07-04;Valutor mot svenska kronor;1 CHF;10,75687
2022-07-05;Valutor mot svenska kronor;1 CHF;10,79366
2022-07-06;Valutor mot svenska kronor;1 CHF;10,82892
2022-07-07;Valutor mot svenska kronor;1 CHF;10,84644
2022-07-08;Valutor mot svenska kronor;1 CHF;10,82824
2022-07-11;Valutor mot svenska kronor;1 CHF;10,82114
2022-07-12;Valutor mot svenska kronor;1 CHF;10,82468
2022-07-13;Valutor mot svenska kronor;1 CHF;10,81331
2022-07-14;Valutor mot svenska kronor;1 CHF;10,76511
2022-07-15;Valutor mot svenska kronor;1 CHF;10,76352
2022-07-18;Valutor mot svenska kronor;1 CHF;10,6678
2022-07-19;Valutor mot svenska kronor;1 CHF;10,59956
2022-07-20;Valutor mot svenska kronor;1 CHF;10,53399
2022-07-21;Valutor mot svenska kronor;1 CHF;10,50506
2022-07-22;Valutor mot svenska kronor;1 CHF;10,57671
2022-07-25;Valutor mot svenska kronor;1 CHF;10,58449
2022-07-26;Valutor mot svenska kronor;1 CHF;10,5768
2022-07-27;Valutor mot svenska kronor;1 CHF;10,69163
2022-07-28;Valutor mot svenska kronor;1 CHF;10,6517
2022-07-29;Valutor mot svenska kronor;1 CHF;10,65076
2022-08-01;Valutor mot svenska kronor;1 CHF;10,69522
2022-08-02;Valutor mot svenska kronor;1 CHF;10,68327
2022-08-03;Valutor mot svenska kronor;1 CHF;10,6753
2022-08-04;Valutor mot svenska kronor;1 CHF;10,60975
2022-08-05;Valutor mot svenska kronor;1 CHF;10,58918
2022-08-08;Valutor mot svenska kronor;1 CHF;10,59507
2022-08-09;Valutor mot svenska kronor;1 CHF;10,63823
2022-08-10;Valutor mot svenska kronor;1 CHF;10,68825
2022-08-11;Valutor mot svenska kronor;1 CHF;10,66685
2022-08-12;Valutor mot svenska kronor;1 CHF;10,71609
2022-08-15;Valutor mot svenska kronor;1 CHF;10,86359
2022-08-16;Valutor mot svenska kronor;1 CHF;10,95543
2022-08-17;Valutor mot svenska kronor;1 CHF;10,89862
2022-08-18;Valutor mot svenska kronor;1 CHF;10,94437
2022-08-19;Valutor mot svenska kronor;1 CHF;10,98204
2022-08-22;Valutor mot svenska kronor;1 CHF;11,07655
2022-08-23;Valutor mot svenska kronor;1 CHF;11,10704
2022-08-24;Valutor mot svenska kronor;1 CHF;11,05753
2022-08-25;Valutor mot svenska kronor;1 CHF;10,97371
2022-08-26;Valutor mot svenska kronor;1 CHF;10,99221
2022-08-29;Valutor mot svenska kronor;1 CHF;11,03341
2022-08-30;Valutor mot svenska kronor;1 CHF;10,98853
2022-08-31;Valutor mot svenska kronor;1 CHF;10,94726
2022-09-01;Valutor mot svenska kronor;1 CHF;10,9598
2022-09-02;Valutor mot svenska kronor;1 CHF;10,97212
2022-09-05;Valutor mot svenska kronor;1 CHF;11,03401
2022-09-06;Valutor mot svenska kronor;1 CHF;10,95627
2022-09-07;Valutor mot svenska kronor;1 CHF;10,97005
2022-09-08;Valutor mot svenska kronor;1 CHF;10,98095
2022-09-09;Valutor mot svenska kronor;1 CHF;11,0136
2022-09-12;Valutor mot svenska kronor;1 CHF;10,95406
2022-09-13;Valutor mot svenska kronor;1 CHF;11,00822
2022-09-14;Valutor mot svenska kronor;1 CHF;11,10057
2022-09-15;Valutor mot svenska kronor;1 CHF;11,13252
2022-09-16;Valutor mot svenska kronor;1 CHF;11,16165
2022-09-19;Valutor mot svenska kronor;1 CHF;11,16808
2022-09-20;Valutor mot svenska kronor;1 CHF;11,14941
2022-09-21;Valutor mot svenska kronor;1 CHF;11,35424
2022-09-22;Valutor mot svenska kronor;1 CHF;11,4175
2022-09-23;Valutor mot svenska kronor;1 CHF;11,3751
2022-09-26;Valutor mot svenska kronor;1 CHF;11,5051
2022-09-27;Valutor mot svenska kronor;1 CHF;11,37445
2022-09-28;Valutor mot svenska kronor;1 CHF;11,50472
2022-09-29;Valutor mot svenska kronor;1 CHF;11,53946
2022-09-30;Valutor mot svenska kronor;1 CHF;11,37936
2022-10-03;Valutor mot svenska kronor;1 CHF;11,2443
2022-10-04;Valutor mot svenska kronor;1 CHF;11,03949
2022-10-05;Valutor mot svenska kronor;1 CHF;11,07808
2022-10-06;Valutor mot svenska kronor;1 CHF;11,18454
2022-10-07;Valutor mot svenska kronor;1 CHF;11,27215
2022-10-10;Valutor mot svenska kronor;1 CHF;11,32933
2022-10-11;Valutor mot svenska kronor;1 CHF;11,30372
2022-10-12;Valutor mot svenska kronor;1 CHF;11,39206
2022-10-13;Valutor mot svenska kronor;1 CHF;11,3683
2022-10-14;Valutor mot svenska kronor;1 CHF;11,28516
2022-10-17;Valutor mot svenska kronor;1 CHF;11,28422
2022-10-18;Valutor mot svenska kronor;1 CHF;11,17935
2022-10-19;Valutor mot svenska kronor;1 CHF;11,14102
2022-10-20;Valutor mot svenska kronor;1 CHF;11,13601
2022-10-21;Valutor mot svenska kronor;1 CHF;11,21411
2022-10-24;Valutor mot svenska kronor;1 CHF;11,25453
2022-10-25;Valutor mot svenska kronor;1 CHF;11,13092
2022-10-26;Valutor mot svenska kronor;1 CHF;11,03211
2022-10-27;Valutor mot svenska kronor;1 CHF;11,00576
2022-10-28;Valutor mot svenska kronor;1 CHF;11,06165
2022-10-31;Valutor mot svenska kronor;1 CHF;10,98097
2022-11-01;Valutor mot svenska kronor;1 CHF;10,97641
2022-11-02;Valutor mot svenska kronor;1 CHF;11,01034
2022-11-03;Valutor mot svenska kronor;1 CHF;11,06116
2022-11-04;Valutor mot svenska kronor;1 CHF;11,0223
2022-11-07;Valutor mot svenska kronor;1 CHF;10,95303
2022-11-08;Valutor mot svenska kronor;1 CHF;10,96348
2022-11-09;Valutor mot svenska kronor;1 CHF;10,91397
2022-11-10;Valutor mot svenska kronor;1 CHF;11,05893
2022-11-11;Valutor mot svenska kronor;1 CHF;10,9386
2022-11-14;Valutor mot svenska kronor;1 CHF;11,00272
2022-11-15;Valutor mot svenska kronor;1 CHF;11,03029
2022-11-16;Valutor mot svenska kronor;1 CHF;11,07427
2022-11-17;Valutor mot svenska kronor;1 CHF;11,09725
2022-11-18;Valutor mot svenska kronor;1 CHF;11,14547
2022-11-21;Valutor mot svenska kronor;1 CHF;11,18532
2022-11-22;Valutor mot svenska kronor;1 CHF;11,16296
2022-11-23;Valutor mot svenska kronor;1 CHF;11,15711
2022-11-24;Valutor mot svenska kronor;1 CHF;11,06566
2022-11-25;Valutor mot svenska kronor;1 CHF;11,0241
2022-11-28;Valutor mot svenska kronor;1 CHF;11,03842
2022-11-29;Valutor mot svenska kronor;1 CHF;11,06071
2022-11-30;Valutor mot svenska kronor;1 CHF;11,08872
2022-12-01;Valutor mot svenska kronor;1 CHF;11,10817
2022-12-02;Valutor mot svenska kronor;1 CHF;11,04005
2022-12-05;Valutor mot svenska kronor;1 CHF;11,03099
2022-12-06;Valutor mot svenska kronor;1 CHF;11,02047
2022-12-07;Valutor mot svenska kronor;1 CHF;11,05337
2022-12-08;Valutor mot svenska kronor;1 CHF;11,02115
2022-12-09;Valutor mot svenska kronor;1 CHF;11,04662
2022-12-12;Valutor mot svenska kronor;1 CHF;11,0614
2022-12-13;Valutor mot svenska kronor;1 CHF;11,01241
2022-12-14;Valutor mot svenska kronor;1 CHF;11,00273
2022-12-15;Valutor mot svenska kronor;1 CHF;11,03909
2022-12-16;Valutor mot svenska kronor;1 CHF;11,15431
2022-12-19;Valutor mot svenska kronor;1 CHF;11,14201
2022-12-20;Valutor mot svenska kronor;1 CHF;11,22385
2022-12-21;Valutor mot svenska kronor;1 CHF;11,25022
2022-12-22;Valutor mot svenska kronor;1 CHF;11,20442
2022-12-23;Valutor mot svenska kronor;1 CHF;11,23385
2022-12-27;Valutor mot svenska kronor;1 CHF;11,22135
2022-12-28;Valutor mot svenska kronor;1 CHF;11,25415
2022-12-29;Valutor mot svenska kronor;1 CHF;11,31478
2022-12-30;Valutor mot svenska kronor;1 CHF;11,29148
2023-01-02;Valutor mot svenska kronor;1 CHF;11,31008
2023-01-03;Valutor mot svenska kronor;1 CHF;11,27723
2023-01-04;Valutor mot svenska kronor;1 CHF;11,32757
2023-01-05;Valutor mot svenska kronor;1 CHF;11,3288
2023-01-09;Valutor mot svenska kronor;1 CHF;11,36126
2023-01-10;Valutor mot svenska kronor;1 CHF;11,27602
2023-01-11;Valutor mot svenska kronor;1 CHF;11,33249
2023-01-12;Valutor mot svenska kronor;1 CHF;11,23737
2023-01-13;Valutor mot svenska kronor;1 CHF;11,18891
2023-01-16;Valutor mot svenska kronor;1 CHF;11,24602
2023-01-17;Valutor mot svenska kronor;1 CHF;11,28948
2023-01-18;Valutor mot svenska kronor;1 CHF;11,27158
2023-01-19;Valutor mot svenska kronor;1 CHF;11,2563
2023-01-20;Valutor mot svenska kronor;1 CHF;11,23082
2023-01-23;Valutor mot svenska kronor;1 CHF;11,15681
2023-01-24;Valutor mot svenska kronor;1 CHF;11,08908
2023-01-25;Valutor mot svenska kronor;1 CHF;11,06549
2023-01-26;Valutor mot svenska kronor;1 CHF;11,11981
2023-01-27;Valutor mot svenska kronor;1 CHF;11,17358
2023-01-30;Valutor mot svenska kronor;1 CHF;11,1913
2023-01-31;Valutor mot svenska kronor;1 CHF;11,23387
2023-02-01;Valutor mot svenska kronor;1 CHF;11,38984
2023-02-02;Valutor mot svenska kronor;1 CHF;11,35767
2023-02-03;Valutor mot svenska kronor;1 CHF;11,34848
2023-02-06;Valutor mot svenska kronor;1 CHF;11,44456
2023-02-07;Valutor mot svenska kronor;1 CHF;11,45242
2023-02-08;Valutor mot svenska kronor;1 CHF;11,46294
2023-02-09;Valutor mot svenska kronor;1 CHF;11,44704
2023-02-10;Valutor mot svenska kronor;1 CHF;11,20974
2023-02-13;Valutor mot svenska kronor;1 CHF;11,32196
2023-02-14;Valutor mot svenska kronor;1 CHF;11,26923
2023-02-15;Valutor mot svenska kronor;1 CHF;11,26503
2023-02-16;Valutor mot svenska kronor;1 CHF;11,2575
2023-02-17;Valutor mot svenska kronor;1 CHF;11,31489
2023-02-20;Valutor mot svenska kronor;1 CHF;11,28534
2023-02-21;Valutor mot svenska kronor;1 CHF;11,18426
2023-02-22;Valutor mot svenska kronor;1 CHF;11,15827
2023-02-23;Valutor mot svenska kronor;1 CHF;11,16666
2023-02-24;Valutor mot svenska kronor;1 CHF;11,11953
2023-02-27;Valutor mot svenska kronor;1 CHF;11,13867
2023-02-28;Valutor mot svenska kronor;1 CHF;11,07407
2023-03-01;Valutor mot svenska kronor;1 CHF;11,08714
2023-03-02;Valutor mot svenska kronor;1 CHF;11,13897
2023-03-03;Valutor mot svenska kronor;1 CHF;11,17112
2023-03-06;Valutor mot svenska kronor;1 CHF;11,22724
2023-03-07;Valutor mot svenska kronor;1 CHF;11,23376
2023-03-08;Valutor mot svenska kronor;1 CHF;11,39631
2023-03-09;Valutor mot svenska kronor;1 CHF;11,38533
2023-03-10;Valutor mot svenska kronor;1 CHF;11,5642
2023-03-13;Valutor mot svenska kronor;1 CHF;11,6132
2023-03-14;Valutor mot svenska kronor;1 CHF;11,62337
2023-03-15;Valutor mot svenska kronor;1 CHF;11,36915
2023-03-16;Valutor mot svenska kronor;1 CHF;11,41234
2023-03-17;Valutor mot svenska kronor;1 CHF;11,28483
2023-03-20;Valutor mot svenska kronor;1 CHF;11,31502
2023-03-21;Valutor mot svenska kronor;1 CHF;11,13928
2023-03-22;Valutor mot svenska kronor;1 CHF;11,21903
2023-03-23;Valutor mot svenska kronor;1 CHF;11,21915
2023-03-24;Valutor mot svenska kronor;1 CHF;11,29396
2023-03-27;Valutor mot svenska kronor;1 CHF;11,32369
2023-03-28;Valutor mot svenska kronor;1 CHF;11,26646
2023-03-29;Valutor mot svenska kronor;1 CHF;11,27568
2023-03-30;Valutor mot svenska kronor;1 CHF;11,36739
2023-03-31;Valutor mot svenska kronor;1 CHF;11,32329
2023-04-03;Valutor mot svenska kronor;1 CHF;11,31958
2023-04-04;Valutor mot svenska kronor;1 CHF;11,37623
2023-04-05;Valutor mot svenska kronor;1 CHF;11,37702
2023-04-06;Valutor mot svenska kronor;1 CHF;11,50444
2023-04-11;Valutor mot svenska kronor;1 CHF;11,57729
2023-04-12;Valutor mot svenska kronor;1 CHF;11,51608
2023-04-13;Valutor mot svenska kronor;1 CHF;11,56481
2023-04-14;Valutor mot svenska kronor;1 CHF;11,54099
2023-04-17;Valutor mot svenska kronor;1 CHF;11,55557
2023-04-18;Valutor mot svenska kronor;1 CHF;11,47619
2023-04-19;Valutor mot svenska kronor;1 CHF;11,51167
2023-04-20;Valutor mot svenska kronor;1 CHF;11,54575
2023-04-21;Valutor mot svenska kronor;1 CHF;11,57059
2023-04-24;Valutor mot svenska kronor;1 CHF;11,57984
2023-04-25;Valutor mot svenska kronor;1 CHF;11,54217
2023-04-26;Valutor mot svenska kronor;1 CHF;11,56094
2023-04-27;Valutor mot svenska kronor;1 CHF;11,57661
2023-04-28;Valutor mot svenska kronor;1 CHF;11,49514
2023-05-02;Valutor mot svenska kronor;1 CHF;11,47948
2023-05-03;Valutor mot svenska kronor;1 CHF;11,55389
2023-05-04;Valutor mot svenska kronor;1 CHF;11,59765
2023-05-05;Valutor mot svenska kronor;1 CHF;11,48588
2023-05-08;Valutor mot svenska kronor;1 CHF;11,43561
2023-05-09;Valutor mot svenska kronor;1 CHF;11,40574
2023-05-10;Valutor mot svenska kronor;1 CHF;11,45705
2023-05-11;Valutor mot svenska kronor;1 CHF;11,48888
2023-05-12;Valutor mot svenska kronor;1 CHF;11,57308
2023-05-15;Valutor mot svenska kronor;1 CHF;11,58566
2023-05-16;Valutor mot svenska kronor;1 CHF;11,57751
2023-05-17;Valutor mot svenska kronor;1 CHF;11,61812
2023-05-19;Valutor mot svenska kronor;1 CHF;11,68778
2023-05-22;Valutor mot svenska kronor;1 CHF;11,71747
2023-05-23;Valutor mot svenska kronor;1 CHF;11,76978
2023-05-24;Valutor mot svenska kronor;1 CHF;11,80506
2023-05-25;Valutor mot svenska kronor;1 CHF;11,87358
2023-05-26;Valutor mot svenska kronor;1 CHF;11,9207
2023-05-29;Valutor mot svenska kronor;1 CHF;11,95094
2023-05-30;Valutor mot svenska kronor;1 CHF;11,95864
2023-05-31;Valutor mot svenska kronor;1 CHF;12,00565
2023-06-01;Valutor mot svenska kronor;1 CHF;11,95495
2023-06-02;Valutor mot svenska kronor;1 CHF;11,9304
2023-06-05;Valutor mot svenska kronor;1 CHF;11,91848
2023-06-07;Valutor mot svenska kronor;1 CHF;12,01017
2023-06-08;Valutor mot svenska kronor;1 CHF;11,94977
2023-06-09;Valutor mot svenska kronor;1 CHF;12,0175
2023-06-12;Valutor mot svenska kronor;1 CHF;11,98135
2023-06-13;Valutor mot svenska kronor;1 CHF;11,89179
2023-06-14;Valutor mot svenska kronor;1 CHF;11,81582
2023-06-15;Valutor mot svenska kronor;1 CHF;11,87579
2023-06-16;Valutor mot svenska kronor;1 CHF;11,90038
2023-06-19;Valutor mot svenska kronor;1 CHF;11,93544
2023-06-20;Valutor mot svenska kronor;1 CHF;11,95693
2023-06-21;Valutor mot svenska kronor;1 CHF;12,01526
2023-06-22;Valutor mot svenska kronor;1 CHF;11,94973
2023-06-26;Valutor mot svenska kronor;1 CHF;11,97283
2023-06-27;Valutor mot svenska kronor;1 CHF;11,94051
2023-06-28;Valutor mot svenska kronor;1 CHF;11,97815
2023-06-29;Valutor mot svenska kronor;1 CHF;11,9819
2023-06-30;Valutor mot svenska kronor;1 CHF;12,07165
2023-07-03;Valutor mot svenska kronor;1 CHF;12,05884
2023-07-04;Valutor mot svenska kronor;1 CHF;12,08564
2023-07-05;Valutor mot svenska kronor;1 CHF;12,09307
2023-07-06;Valutor mot svenska kronor;1 CHF;12,19048
