Datum;Grupp;Serie;Värde
2000-04-17;Valutor mot svenska kronor;1 CAD;5,85
2000-04-18;Valutor mot svenska kronor;1 CAD;5,90
2000-04-19;Valutor mot svenska kronor;1 CAD;5,9025
2000-04-20;Valutor mot svenska kronor;1 CAD;5,9375
2000-04-21;Valutor mot svenska kronor;1 CAD;N/A
2000-04-22;Valutor mot svenska kronor;1 CAD;N/A
2000-04-23;Valutor mot svenska kronor;1 CAD;N/A
2000-04-24;Valutor mot svenska kronor;1 CAD;N/A
2000-04-25;Valutor mot svenska kronor;1 CAD;5,96
2000-04-26;Valutor mot svenska kronor;1 CAD;6,05
2000-04-27;Valutor mot svenska kronor;1 CAD;6,0425
2000-04-28;Valutor mot svenska kronor;1 CAD;6,045
2000-04-29;Valutor mot svenska kronor;1 CAD;N/A
2000-04-30;Valutor mot svenska kronor;1 CAD;N/A
2000-05-01;Valutor mot svenska kronor;1 CAD;N/A
2000-05-02;Valutor mot svenska kronor;1 CAD;6,04
2000-05-03;Valutor mot svenska kronor;1 CAD;6,045
2000-05-04;Valutor mot svenska kronor;1 CAD;6,095
2000-05-05;Valutor mot svenska kronor;1 CAD;6,0775
2000-05-06;Valutor mot svenska kronor;1 CAD;N/A
2000-05-07;Valutor mot svenska kronor;1 CAD;N/A
2000-05-08;Valutor mot svenska kronor;1 CAD;6,085
2000-05-09;Valutor mot svenska kronor;1 CAD;6,065
2000-05-10;Valutor mot svenska kronor;1 CAD;6,045
2000-05-11;Valutor mot svenska kronor;1 CAD;6,0875
2000-05-12;Valutor mot svenska kronor;1 CAD;6,1475
2000-05-13;Valutor mot svenska kronor;1 CAD;N/A
2000-05-14;Valutor mot svenska kronor;1 CAD;N/A
2000-05-15;Valutor mot svenska kronor;1 CAD;6,0725
2000-05-16;Valutor mot svenska kronor;1 CAD;6,0825
2000-05-17;Valutor mot svenska kronor;1 CAD;6,1325
2000-05-18;Valutor mot svenska kronor;1 CAD;6,1125
2000-05-19;Valutor mot svenska kronor;1 CAD;6,085
2000-05-20;Valutor mot svenska kronor;1 CAD;N/A
2000-05-21;Valutor mot svenska kronor;1 CAD;N/A
2000-05-22;Valutor mot svenska kronor;1 CAD;6,115
2000-05-23;Valutor mot svenska kronor;1 CAD;6,125
2000-05-24;Valutor mot svenska kronor;1 CAD;6,095
2000-05-25;Valutor mot svenska kronor;1 CAD;6,09
2000-05-26;Valutor mot svenska kronor;1 CAD;6,0575
2000-05-27;Valutor mot svenska kronor;1 CAD;N/A
2000-05-28;Valutor mot svenska kronor;1 CAD;N/A
2000-05-29;Valutor mot svenska kronor;1 CAD;6,05
2000-05-30;Valutor mot svenska kronor;1 CAD;6,02
2000-05-31;Valutor mot svenska kronor;1 CAD;5,98
2000-06-01;Valutor mot svenska kronor;1 CAD;N/A
2000-06-02;Valutor mot svenska kronor;1 CAD;5,985
2000-06-03;Valutor mot svenska kronor;1 CAD;N/A
2000-06-04;Valutor mot svenska kronor;1 CAD;N/A
2000-06-05;Valutor mot svenska kronor;1 CAD;5,9675
2000-06-06;Valutor mot svenska kronor;1 CAD;5,97
2000-06-07;Valutor mot svenska kronor;1 CAD;5,895
2000-06-08;Valutor mot svenska kronor;1 CAD;5,8725
2000-06-09;Valutor mot svenska kronor;1 CAD;5,9125
2000-06-10;Valutor mot svenska kronor;1 CAD;N/A
2000-06-11;Valutor mot svenska kronor;1 CAD;N/A
2000-06-12;Valutor mot svenska kronor;1 CAD;N/A
2000-06-13;Valutor mot svenska kronor;1 CAD;5,8625
2000-06-14;Valutor mot svenska kronor;1 CAD;5,8425
2000-06-15;Valutor mot svenska kronor;1 CAD;5,8375
2000-06-16;Valutor mot svenska kronor;1 CAD;5,8675
2000-06-17;Valutor mot svenska kronor;1 CAD;N/A
2000-06-18;Valutor mot svenska kronor;1 CAD;N/A
2000-06-19;Valutor mot svenska kronor;1 CAD;5,865
2000-06-20;Valutor mot svenska kronor;1 CAD;5,885
2000-06-21;Valutor mot svenska kronor;1 CAD;5,885
2000-06-22;Valutor mot svenska kronor;1 CAD;5,93
2000-06-23;Valutor mot svenska kronor;1 CAD;N/A
2000-06-24;Valutor mot svenska kronor;1 CAD;N/A
2000-06-25;Valutor mot svenska kronor;1 CAD;N/A
2000-06-26;Valutor mot svenska kronor;1 CAD;5,98
2000-06-27;Valutor mot svenska kronor;1 CAD;5,99
2000-06-28;Valutor mot svenska kronor;1 CAD;6,01
2000-06-29;Valutor mot svenska kronor;1 CAD;6,0025
2000-06-30;Valutor mot svenska kronor;1 CAD;5,945
2000-07-01;Valutor mot svenska kronor;1 CAD;N/A
2000-07-02;Valutor mot svenska kronor;1 CAD;N/A
2000-07-03;Valutor mot svenska kronor;1 CAD;5,9525
2000-07-04;Valutor mot svenska kronor;1 CAD;5,965
2000-07-05;Valutor mot svenska kronor;1 CAD;5,9275
2000-07-06;Valutor mot svenska kronor;1 CAD;5,9225
2000-07-07;Valutor mot svenska kronor;1 CAD;5,9775
2000-07-08;Valutor mot svenska kronor;1 CAD;N/A
2000-07-09;Valutor mot svenska kronor;1 CAD;N/A
2000-07-10;Valutor mot svenska kronor;1 CAD;5,99
2000-07-11;Valutor mot svenska kronor;1 CAD;5,975
2000-07-12;Valutor mot svenska kronor;1 CAD;5,98
2000-07-13;Valutor mot svenska kronor;1 CAD;5,9875
2000-07-14;Valutor mot svenska kronor;1 CAD;6,02
2000-07-15;Valutor mot svenska kronor;1 CAD;N/A
2000-07-16;Valutor mot svenska kronor;1 CAD;N/A
2000-07-17;Valutor mot svenska kronor;1 CAD;5,9975
2000-07-18;Valutor mot svenska kronor;1 CAD;6,045
2000-07-19;Valutor mot svenska kronor;1 CAD;6,16
2000-07-20;Valutor mot svenska kronor;1 CAD;6,1625
2000-07-21;Valutor mot svenska kronor;1 CAD;6,1075
2000-07-22;Valutor mot svenska kronor;1 CAD;N/A
2000-07-23;Valutor mot svenska kronor;1 CAD;N/A
2000-07-24;Valutor mot svenska kronor;1 CAD;6,125
2000-07-25;Valutor mot svenska kronor;1 CAD;6,105
2000-07-26;Valutor mot svenska kronor;1 CAD;6,0675
2000-07-27;Valutor mot svenska kronor;1 CAD;6,10
2000-07-28;Valutor mot svenska kronor;1 CAD;6,195
2000-07-29;Valutor mot svenska kronor;1 CAD;N/A
2000-07-30;Valutor mot svenska kronor;1 CAD;N/A
2000-07-31;Valutor mot svenska kronor;1 CAD;6,21
